UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,LATITUDE,LONGITUDE,WINNING PARTY, PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT,TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,GSABAH (1),GSABAH (1) CANDIDATE,GSABAH (1) CANDIDATE SEX,GSABAH (1) CANDIDATE AGE,GSABAH (1) VOTE,GSABAH (1) CANDIDATE LOST DEPOSIT,GSABAH (2),GSABAH (2) CANDIDATE,GSABAH (2) CANDIDATE SEX,GSABAH (2) CANDIDATE AGE,GSABAH (2) VOTE,GSABAH (2) CANDIDATE LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN CANDIDATE VOTE,WARISAN CANDIDATE LOST DEPOSIT,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE SEX,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 1 CANDIDATE LOST DEPOSIT,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE SEX,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.053,Pulau Pinang,P.053,Balik Pulau,5.3506953,100.2348979,PH - PKR,Pakatan Harapan (PH),,59086,6464,85.58,50564,157,631,49776,UMNO,DATO’ SERI DR HILMI HAJI YAHAYA,MALE,69,19007,,PKR,MUHAMMAD BAKHTIAR BIN WAN CHIK,MALE,53,25471,,PAS,MUHAMMAD IMRAN BIN MUHAMMAD SA’AD,MALE,49,5298,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054,Perak,P.054,Gerik,5.4306632,101.1296386,BN - UMNO,Barisan Nasional (BN),,35903,5528,78.08,28032,126,595,27311,UMNO,DATO HASBULLAH OSMAN,MALE,61,13243,,PPBM,IBRAHIM HANAFIAH,MALE,62,6353,,PAS,USTAZ DAHALAN,MALE,58,7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055,Perak,P.055,Lenggong,5.1094869,100.9678905,BN - UMNO,Barisan Nasional (BN),,29752,5773,79.72,23719,109,405,23205,UMNO,DR SHAMSUL ANUAR NASARAH,MALE,51,12523,,PPBM,AMIRUL FAIRUZZEEN,MALE,36,3932,,PAS,USTAZ MUJAHID IR FADZIL,MALE,32,6750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056,Perak,P.056,Larut,4.853766,100.7436053,BN - UMNO,Barisan Nasional (BN),,49453,4486,81.84,40470,128,722,39620,UMNO,DATO SERI HAMZAH ZAINUDIN,MALE,61,18184,,PPBM,DATO KHAIRIL ANUAR,MALE,56,7738,,PAS,CIKGU HAJI ABU HUSIN,MALE,65,13698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057,Perak,P.057,Parit Buntar,5.1300016,100.4893897,PH - PAN,Pakatan Harapan (PH),,51860,3098,83.58,43347,91,536,42720,UMNO,ABDUL PUHAT BIN MAT NAYAN,MALE,60,13655,,PAN,DATO’ DR MUJAHID RAWA,MALE,54,16753,,PAS,AHMAD AZHAR HAJI SHARIN,MALE,50,12312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058,Perak,P.058,Bagan Serai,5.0284508,100.5273516,BN - UMNO,Barisan Nasional (BN),,59293,172,81.60,48381,261,865,47255,UMNO,DATO DR NOOR AZMI BIN GHAZALI,MALE,57,17220,,PPBM,ADAM BIN ASMUNI,MALE,33,12987,,PAS,USTAZAH ROHAYA BINTI BAKAR,FEMALE,58,17048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059,Perak,P.059,Bukit Gantang,4.7833333,100.76667,BN - UMNO,Barisan Nasional (BN),,69873,4089,82.82,57867,243,761,56863,UMNO,SYED HUSSIN BIN HAFIZ SYED ABDUL FASAL,MALE,58,22450,,PPBM,DATO HJ KHADRI KHALID,MALE,64,18361,,PAS,USTAZ IDRIS AHMAD,MALE,55,16052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.060,Perak,P.060,Taiping,4.8546772,100.7438831,PH - DAP,Pakatan Harapan (PH),,90729,27384,78.58,71297,462,1092,69743,GERAKAN,TAN KENG LIANG,MALE,41,15613,,DAP,TEH KOK LIM,MALE,48,42997,,PAS,IBRAHIM ISMAIL,MALE,53,11133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.061,Perak,P.061,Padang Rengas,4.7777852,100.8576433,BN - UMNO,Barisan Nasional (BN),,30996,2548,82.91,25698,102,315,25281,UMNO,DATO’ SERI MOHAMED NAZRI BIN TAN SRI ABDUL AZIZ,MALE,64,10491,,PKR,EJAZI YAHAYA,MALE,56,7943,,PAS,MOHAMAD AZALAN,MALE,57,6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062,Perak,P.062,Sungai Siput,4.8188086,101.071298,PH - PKR,Pakatan Harapan (PH),,55002,5607,79.38,43662,122,814,42726,MIC,S K DEVAMANY,MALE,61,15210,,PKR,S KESAVAN,MALE,45,20817,,PAS,DR ISHAK IBRAHIM,MALE,47,5194,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,PSM,DR KUMAR,MALE,64,1505,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.063,Perak,P.063,Tambun,4.6112263,101.1400876,PH - PPBM,Pakatan Harapan (PH),,107763,5320,82.51,88920,1010,960,86950,UMNO,DATO’ SERI AHMAD HUSNI HANADZLAH,MALE,66,33341,,PPBM,AHMAD FAIZAL DATO’ AZUMU,MALE,48,38661,,PAS,USTAZ IBRAHIM ZAKARIA,MALE,48,14948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.064,Perak,P.064,Ipoh Timor,4.5763317,101.1308762,PH - DAP,Pakatan Harapan (PH),,91486,42797,78.40,71726,462,1023,70241,MCA,KATHLEEN (KAT) WONG,FEMALE,42,13722,,DAP,WONG KAH WOH,MALE,38,56519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065,Perak,P.065,Ipoh Barat,4.5954401,101.0622002,PH - DAP,Pakatan Harapan (PH),,84874,45724,78.77,66852,472,878,65502,MCA,CHENG WEI YEE,MALE,44,9889,,DAP,M KULA,MALE,61,55613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.066,Perak,P.066,Batu Gajah,4.4598846,101.0492993,PH - DAP,Pakatan Harapan (PH),,81399,43868,78.38,63804,284,733,62787,MCA,LEONG CHEE WAI,MALE,44,8982,,DAP,V SIVAKUMAR,MALE,48,52850,,,,,,,,,,,,,,,,,,,,,,,,,,PSM,SEKAR,MALE,49,955,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.067,Perak,P.067,Kuala Kangsar,4.7720713,100.9408776,BN - UMNO,Barisan Nasional (BN),,36954,731,83.08,30701,134,511,30056,UMNO,DATIN MASTURA YAZID,FEMALE,57,12102,,PAN,DR AHMAD TERMIZI RAMLI,MALE,64,11371,,PAS,DRS KHALIL IDHAM LIM,MALE,54,6583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068,Perak,P.068,Beruas,4.5002829,100.7824056,PH - DAP,Pakatan Harapan (PH),,79794,27954,77.22,61617,341,1009,60267,GERAKAN,PANG CHOK KING,MALE,54,13277,,DAP,DATO’ NGEH KOO HAM,MALE,57,41231,,PAS,HJ MOHAMAD NAZEER HAMEED,MALE,61,5759,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.069,Perak,P.069,Parit,4.4768608,100.9093896,BN - UMNO,Barisan Nasional (BN),,35910,6320,82.28,29547,132,425,28990,UMNO,USTAZ NIZAR,MALE,49,14035,,PAN,TARMIZI MOHD JAM,MALE,49,7240,,PAS,DR NAJIHA AHMAD,FEMALE,52,7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070,Perak,P.070,Kampar,4.30066,101.1614462,PH - DAP,Pakatan Harapan (PH),,69436,11801,77.15,53567,214,858,52495,MCA,LEE CHEE LEONG,MALE,61,18415,,DAP,SU KEONG SEONG,MALE,52,30216,,PAS,YOUGAN,MALE,31,3864,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071,Perak,P.071,Gopeng,4.476786,101.168079,PH - PKR,Pakatan Harapan (PH),,99167,29778,81.21,80532,446,853,79233,MCA,HENG SEAI KIE,FEMALE,56,19145,,PKR,DR LEE BOON CHYE,MALE,59,48923,,PAS,ISMAIL BIN ARIFFIN,MALE,57,11165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.072,Perak,P.072,Tapah,4.1990915,101.2599231,BN - MIC,Barisan Nasional (BN),,47128,614,78.75,37113,179,760,36174,MIC,DATUK SERI M SARAVANAN,MALE,50,16086,,PPBM,MOHAMED AZNI,MALE,62,15472,,PAS,USTAZ NORAZLI BIN MUSA,MALE,51,4616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.073,Perak,P.073,Pasir Salak,4.1731723,100.945408,BN - UMNO,Barisan Nasional (BN),,54671,7712,81.41,44508,168,895,43445,UMNO,DATO SRI TAJUDDIN ABDUL RAHMAN,MALE,70,20003,,PPBM,DR SALIHUDDIN,MALE,59,12291,,PAS,USTAZ ZAFARUL AZHAN,MALE,38,11151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074,Perak,P.074,Lumut,4.2246469,100.6211525,PH - PAN,Pakatan Harapan (PH),,67157,400,81.96,55042,316,1081,53645,UMNO,DATO’ SERI DIRAJA DR ZAMBRY ABD KADIR,MALE,56,21555,,PAN,DR HATTA RAMLI,MALE,62,21955,,PAS,ZAMRI IBRAHIM,MALE,44,10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075,Perak,P.075,Bagan Datuk,3.9166667,100.9166667,BN - UMNO,Barisan Nasional (BN),,47309,5073,79.89,37796,176,814,36806,UMNO,AHMAD ZAHID BIN HAMIDI,MALE,65,18909,,PKR,PAKHRURRAZI HJ ARSHAD,MALE,65,13836,,PAS,ATA ABDUL MUNEIM DATO’ HASAN ADLI,MALE,60,4061,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.076,Perak,P.076,Teluk Intan,4.023176,101.026184,PH - DAP,Pakatan Harapan (PH),,66487,11179,82.12,54601,204,742,53655,GERAKAN,MAH SIEW KEONG,MALE,56,17991,,DAP,NGA KOR MING,MALE,46,29170,,PAS,DR AHMAD RAMDZAN,MALE,62,6494,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.077,Perak,P.077,Tanjong Malim,3.6900079,101.5234848,PH - PKR,Pakatan Harapan (PH),,68468,5358,81.22,55613,265,1051,54297,MCA,DR MAH HANG SOON,MALE,53,19314,,PKR,CHANG LIH KANG,MALE,37,24672,,PAS,USTAZ MOHD TARMIZI,MALE,53,10311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.078,Pahang,P.078,Cameron Highlands,4.4781546,101.4833091,BN - MIC,Barisan Nasional (BN),,32048,597,79.03,25326,171,790,24365,MIC,DATO' SIVARRAAJH CHANDRAN,MALE,42,10307,,DAP,MANOGARAN,MALE,59,9710,,PAS,CIKGU WAN MAHADIR,MALE,46,3587,,,,,,,,,,,,,,,,,,,,PSM,SURESH KUMAR,MALE,42,680,LOST DEPOSIT,BERJASA,USTAZ TAHIR,MALE,,81,LOST DEPOSIT,,,,,,,,,,,,
P.079,Pahang,P.079,Lipis,4.3242506,101.9085845,BN - UMNO,Barisan Nasional (BN),,35294,6569,81.22,28666,112,462,28092,UMNO,ABDUL RAHMAN BIN MOHAMAD,MALE,54,13995,,PPBM,DATO BADARUDIN ABD RAHAMAN,MALE,65,7426,,PAS,CIKGU HJ SOBIRIN BIN HJ DULI,MALE,68,6671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080,Pahang,P.080,Raub,3.7950465,101.8560075,PH - DAP,Pakatan Harapan (PH),,57723,3159,81.37,46971,180,766,46025,MCA,CHEW MEI FUN,FEMALE,54,17500,,DAP,TENGKU ZULPURI SHAH,MALE,54,20659,,PAS,DR MOHAMED NILAM,MALE,,7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081,Pahang,P.081,Jerantut,4.2834137,102.5575232,BN - UMNO,Barisan Nasional (BN),,63609,5908,80.83,51414,224,941,50249,UMNO,DATO' AHMAD NAZLAN,MALE,60,22640,,PPBM,WAN MOHD SHAHRIR,MALE,37,10877,,PAS,USTAZ YOHANIS AHMAD,MALE,40,16732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.082,Pahang,P.082,Indera Mahkota,3.829399,103.2942076,PH - PKR,Pakatan Harapan (PH),,77208,10950,83.69,64612,269,622,63721,UMNO,DATO' DR JOHAN BIN MAT SAH,MALE,56,17628,,PKR,DATO' SAIFUDDIN ABDULLAH,MALE,57,28578,,PAS,USTAZ NASRUDIN HASSAN TANTAWI,MALE,48,17515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083,Pahang,P.083,Kuantan,3.7985637,103.32199,PH - PKR,Pakatan Harapan (PH),,62696,8111,83.21,52167,199,798,51170,MCA,DATO' WONG KEAN HWEE,MALE,57,13667,,PKR,FUZIAH SALLEH,FEMALE,59,22807,,PAS,CIKGU SULAIMAN MD DERUS,MALE,,14696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084,Pahang,P.084,Paya Besar,3.7861754,103.233338,BN - UMNO,Barisan Nasional (BN),,55135,5742,81.51,44942,171,671,44100,UMNO,MOHD SHAHAR BIN ABDULLAH,MALE,38,19033,,PPBM,MOHD ASHRAF MUSTAQIM,MALE,32,11776,,PAS,MOHAMAD AZHAR BIN MOHD NOOR,MALE,66,13291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085,Pahang,P.085,Pekan,3.4895509,103.390396,BN - UMNO,Barisan Nasional (BN),,88899,24859,81.34,72308,301,1393,70614,UMNO,DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,MALE,65,43854,,PPBM,MUHD ZAHID MD ARIP,MALE,52,7662,LOST DEPOSIT,PAS,KAPT (B) AHIATUDIN BIN DAUD,MALE,63,18995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,ABD KADIR BIN SAINUDIN,MALE,,103,LOST DEPOSIT,,,,,,
P.086,Pahang,P.086,Maran,3.601443,102.6410048,BN - UMNO,Barisan Nasional (BN),,41036,3763,81.30,33363,156,482,32725,UMNO,DATO' SRI DR HJ ISMAIL BIN HJ ABD MUTTALIB,MALE,64,16064,,PPBM,AHMAD FARID BIN AHMAD NORDIN,MALE,,4360,,PAS,CIKGU HASENAN HARON,MALE,,12301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087,Pahang,P.087,Kuala Krau,3.709684,102.367585,BN - UMNO,Barisan Nasional (BN),,47264,2876,82.73,39102,178,613,38311,UMNO,DATO' SRI HAJI ISMAIL BIN HAJI MOHAMED SAID,MALE,53,18058,,PPBM,MOHAMAD RAFIDEE,MALE,45,5071,,PAS,USTAZ HAJI KAMAL BIN ASHAARI,MALE,48,15182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088,Pahang,P.088,Temerloh,3.6124468,102.2566818,PH - PAN,Pakatan Harapan (PH),,75081,1904,82.85,62204,289,865,61050,UMNO,DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,MALE,56,22094,,PAN,HJ ANUAR TAHIR,MALE,66,23998,,PAS,HAJI MD JUSOH BIN DARUS,MALE,62,14734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,KHAIDIR AHMAD,MALE,56,178,LOST DEPOSIT,INDEPENDENT - BOOK,MUHD FAKHRUDIN B ABU HANIPAH,MALE,,46,LOST DEPOSIT
P.089,Pahang,P.089,Bentong,3.3624708,102.0172675,PH - DAP,Pakatan Harapan (PH),,67359,2032,83.39,56173,284,783,55106,MCA,DATO' SRI LIOW TIONG LAI,MALE,57,23684,,DAP,WONG TACK,MALE,59,25716,,PAS,BALASUBRAMANIAM A/L NACHIAPPAN,MALE,,5706,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.090,Pahang,P.090,Bera,3.2366738,102.5417723,BN - UMNO,Barisan Nasional (BN),,58711,2311,82.33,48339,267,767,47305,UMNO,ISMAIL SABRI YAAKOB,MALE,58,20760,,PKR,ZAKARIA ABDUL HAMID,MALE,,18449,,PAS,MUSANIFF BIN AB. RAHMAN,MALE,,8096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091,Pahang,P.091,Rompin,2.8245772,103.0993556,BN - UMNO,Barisan Nasional (BN),,61918,11395,82.21,50905,251,917,49737,UMNO,DATO' SRI HASAN BIN ARIFIN,MALE,65,26628,,PKR,SITARUNISAH BINTI AB KADIR,FEMALE,,7876,,PAS,USTAZ SHAHRUL,MALE,39,15233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.092,Selangor,P.092,Sabak Bernam,3.6871153,101.0580588,BN - UMNO,Barisan Nasional (BN),,40863,1674,83.26,34023,108,565,33350,UMNO,DATO' FASIAH,MALE,62,12862,,PPBM,WARNO BIN DOGOL,MALE,56,11188,,PAS,USTAZ MUHAMMAD LABIB BIN ABD JALIL,MALE,,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.093,Selangor,P.093,Sungai Besar,3.6777145,100.9880263,PH - PPBM,Pakatan Harapan (PH),,48739,714,85.92,41878,108,564,41206,UMNO,BUDIMAN BIN MOHD ZOHDI,MALE,46,16636,,PPBM,CIKGU MUSLIMIN,MALE,51,17350,,PAS,CIKGU HAJI SALLEH HUSIN,MALE,,7220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.094,Selangor,P.094,Hulu Selangor,3.5367441,101.5949347,PH - PKR,Pakatan Harapan (PH),,100990,13391,85.95,86798,267,1310,85221,MIC,P.KAMALANATHAN,MALE,53,27392,,PKR,JUNE LEOW,FEMALE,54,40783,,PAS,DR WAN MAT,MALE,,16620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,KUMAR A/L S. PARAMASIVAM,MALE,49,426,LOST DEPOSIT,,,,,,
P.095,Selangor,P.095,Tanjong Karang,3.4248609,101.1765284,BN - UMNO,Barisan Nasional (BN),,47198,1970,87.26,41184,155,531,40498,UMNO,TAN SRI NOH BIN HAJI OMAR,MALE,60,17596,,PPBM,KAPT(B) DATO DR ZULKAFPERI,MALE,59,15626,,PAS,NOR AZ AZLAN BIN AHMAD,MALE,,7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.096,Selangor,P.096,Kuala Selangor,3.3621022,101.3455503,PH - PAN,Pakatan Harapan (PH),,69397,8498,87.67,60843,126,996,59721,UMNO,IRMOHIZAM,MALE,,21344,,PAN,DR HJ DZULKEFLY AHMAD,MALE,62,29842,,PAS,HAJI FAKARUDDIN,MALE,46,8535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.097,Selangor,P.097,Selayang,3.2537121,101.6539012,PH - PKR,Pakatan Harapan (PH),,116176,40657,85.60,99450,495,953,98002,MCA,KANG MENG FUAT,MALE,36,19501,,PKR,WILLIAM LEONG JEE KEEN,MALE,61,60158,,PAS,BRIG. GEN HASHIM KARIM,MALE,,18343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.098,Selangor,P.098,Gombak,3.3,101.7,PH - PKR,Pakatan Harapan (PH),,141112,48721,85.43,120548,573,933,119042,UMNO,DATUK ABDUL RAHIM KAMARUDIN,MALE,64,26392,,PKR,DATO' SERI AZMIN ALI,MALE,54,75113,,PAS,Ir. KHAIRIL NIZAM,MALE,39,17537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.099,Selangor,P.099,Ampang,3.1505141,101.7600712,PH - PKR,Pakatan Harapan (PH),,91737,41956,84.52,77539,381,608,76550,MCA,LEONG KIM SOON,MALE,41,12351,,PKR,ZURAIDA KAMARUDDIN,FEMALE,60,54307,,PAS,NURUL ISLAM BIN MOHAMED YUSOFF,MALE,35,9598,,,,,,,,,,,,,,,,,,,,PRM,TAN HUA MENG,MALE,61,294,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.100,Selangor,P.100,Pandan,3.1359876,101.7204333,PH - PKR,Pakatan Harapan (PH),,101319,52543,85.39,86514,223,517,85774,MCA,LEONG KOK WEE,MALE,50,12190,,PKR,DR WAN AZIZAH,FEMALE,66,64733,,PAS,USTAZ SUKRI OMAR,MALE,,8336,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,PRM,JENICE LEE YING HA,FEMALE,38,442,LOST DEPOSIT,,,,,,,INDEPENDENT - HOUSE,MOHD KHAIRUL AZAM BIN ABDUL AZIZ,MALE,,73,LOST DEPOSIT,,,,,,
P.101,Selangor,P.101,Hulu Langat,3.083333,101.833333,PH - PAN,Pakatan Harapan (PH),,102363,25424,87.51,89577,401,929,88247,UMNO,AZMAN BIN AHMAD,MALE,,23580,,PAN,USTAZ HASANUDDIN MOHD YUNUS,MALE,54,49004,,PAS,DR CHE ROSLI CHE MAT,MALE,67,15663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.102,Selangor,P.102,Bangi,2.9040475,101.7863029,PH - DAP,Pakatan Harapan (PH),,178790,68768,88.33,157933,492,1114,156327,MCA,LIEW YUEN KEONG,MALE,58,19766,,DAP,DR. ONG KIAN MING,MALE,43,102557,,PAS,USTAZ SHAFIE NGAH,MALE,52,33789,,,,,,,,,,,,,,,,,,,,PRM,DENNIS WAN,MALE,,215,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.103,Selangor,P.103,Puchong,3.0327,101.6188,PH - DAP,Pakatan Harapan (PH),,96437,47635,87.47,84357,212,667,83478,GERAKAN,ANG CHIN TAT,MALE,,12794,,DAP,GOBIND SINGH DEO,MALE,45,60429,,PAS,MOHAMAD ROSHARIZAN,MALE,45,10255,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104,Selangor,P.104,Subang,3.0342324,101.6170345,PH - PKR,Pakatan Harapan (PH),,146422,92353,86.66,126883,568,610,125705,MCA,IR. TAN SEONG LIM,MALE,52,12077,LOST DEPOSIT,PKR,WONG CHEN,MALE,49,104430,,IKATAN,SHAHIR ADNAN,MALE,34,9025,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,TOH SIN WAH,MALE,55,173,LOST DEPOSIT,,,,,,
P.105,Selangor,P.105,Petaling Jaya,3.0988792,101.6454202,PH - PKR,Pakatan Harapan (PH),,140920,57137,82.74,116597,350,968,115279,MCA,CHEW HIAN TAT,MALE,44,21847,,PKR,MARIA CHIN ABDULLAH,FEMALE,62,78984,,PAS,NORAINI BINTI HUSSIN,FEMALE,53,14448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.106,Selangor,P.106,Damansara,3.1378819,101.5966801,PH - DAP,Pakatan Harapan (PH),,164322,106903,83.76,137639,492,867,136280,MCA,RYAN HO KWOK XHENG,MALE,30,14380,LOST DEPOSIT,DAP,TONY PUA,MALE,46,121283,,,,,,,,,,,,,,,,,,,,,,,,,,PRM,DATO' WONG MUN KHEONG,MALE,45,617,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.107,Selangor,P.107,Sungai Buloh,3.2061782,101.5800355,PH - PKR,Pakatan Harapan (PH),,90707,26634,86.95,78874,237,686,77951,MIC,A. PRAKASH RAO,MALE,58,16681,,PKR,SIVARASA RASIAH,MALE,62,43631,,PAS,USTAZAH NURIDAH,FEMALE,57,16997,,,,,,,,,,,,,,,,,,,,PSM,ZAINURIZZAMAN BIN MOHARAM,MALE,38,642,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.108,Selangor,P.108,Shah Alam,3.0739429,101.5185278,PH - PAN,Pakatan Harapan (PH),,107316,33849,87.82,94241,334,664,93243,UMNO,HAJI AZHARI SHAARI,MALE,48,22100,,PAN,KHALID ABD SAMAD,MALE,61,55949,,PAS,DR MOHD ZUHDI BIN MARSUKI,MALE,,15194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
