UNIQUE_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_CODE,PARLIAMENTARY_NAME,LATITUDE,LONGITUDE,TOTAL_ELECTORS,Malay,Chinese,Indian,Orang Asli,Bumiputera Sabah,Bumiputera Sarawak,Others
P.001,Perlis,P.001,Padang Besar,6.65906,100.319229,46096,86.61,8.45,0.88,0.02,0.3,0.68,3.06
P.002,Perlis,P.002,Kangar,6.43994,100.192909,55938,81.71,15.23,1.68,0,0.07,0.09,1.22
P.003,Perlis,P.003,Arau,6.429708,100.269844,48187,87.66,7.66,1.65,0.01,0.09,0.07,2.86
P.004,Kedah,P.004,Langkawi,6.35,99.800003,42697,90.37,6.51,2.4,0,0.19,0.17,0.36
P.005,Kedah,P.005,Jerlun,6.24003,100.256821,54132,91.23,6.89,0.1,0,0.03,0.02,1.73
P.006,Kedah,P.006,Kubang Pasu,6.3356376,100.3723218,73881,86.49,8.53,3.46,0.01,0.18,0.18,1.15
P.007,Kedah,P.007,Padang Terap,6.2566513,100.6645805,46644,92.14,1.27,0.17,0,0.03,0.03,6.36
P.008,Kedah,P.008,Pokok Sena,6.1730525,100.5203915,86892,81.45,15.45,2.45,0,0.06,0.12,0.47
P.009,Kedah,P.009,Alor Setar,6.1231908,100.3683962,80272,63.58,31.72,4.21,0,0.05,0.1,0.34
P.010,Kedah,P.010,Kuala Kedah,6.1072177,100.2934899,97753,78.27,20.25,1.12,0,0.03,0.03,0.3
P.011,Kedah,P.011,Pendang,5.9720841,100.5501852,74867,88.76,5.07,0.54,0.01,0.03,0.03,5.56
P.012,Kedah,P.012,Jerai,5.787128,100.4347358,79976,80.19,13.57,5.91,0,0.02,0.04,0.27
P.013,Kedah,P.013,Sik,5.9239011,100.8231021,50385,92.98,1.46,0.17,0.01,0.05,0.03,5.3
P.014,Kedah,P.014,Merbok,5.7226681,100.4136266,87782,68.58,15.06,15.34,0.01,0.16,0.39,0.46
P.015,Kedah,P.015,Sungai Petani,5.6435195,100.4869513,112577,60.71,26.83,11.95,0.01,0.04,0.05,0.41
P.016,Kedah,P.016,Baling,5.5507199,100.797587,107213,88.7,4.38,5.14,0.11,0.05,0.04,1.58
P.017,Kedah,P.017,Padang Serai,5.5126654,100.554626,84834,59.05,19.79,20.74,0,0.04,0.04,0.34
P.018,Kedah,P.018,Kulim-Bandar Baharu,5.2099939,100.6118843,66587,69.18,17.65,12.87,0,0.06,0.07,0.17
P.019,Kelantan,P.019,Tumpat,6.2002519,102.1706651,110924,92.92,3.13,0.15,0,0.02,0.05,3.73
P.020,Kelantan,P.020,Pengkalan Chepa,6.172658,102.293098,75384,97.93,1.49,0.11,0.01,0.08,0.11,0.27
P.021,Kelantan,P.021,Kota Bharu,6.12584,102.2399785,88708,84.46,14.21,0.78,0,0.04,0.05,0.46
P.022,Kelantan,P.022,Pasir Mas,6.0080942,102.0925134,71222,97.59,1.99,0.06,0,0.03,0.04,0.29
P.023,Kelantan,P.023,Rantau Panjang,6.0181186,101.9728195,66115,97,2.06,0.07,0,0.02,0.04,0.81
P.024,Kelantan,P.024,Kubang Kerian,6.0940366,102.2845137,82018,97.98,1.68,0.14,0,0.03,0.04,0.13
P.025,Kelantan,P.025,Bachok,6.0616322,102.4008505,92606,98.46,1.08,0.04,0,0.02,0.03,0.37
P.026,Kelantan,P.026,Ketereh,5.9588765,102.251282,65238,96.66,1.88,0.08,0.06,0.26,0.59,0.47
P.027,Kelantan,P.027,Tanah Merah,5.7663046,102.0341478,73172,94.71,3.92,0.59,0,0.04,0.06,0.68
P.028,Kelantan,P.028,Pasir Puteh,5.8346168,102.3829644,85411,98.17,0.96,0.05,0,0.03,0.04,0.75
P.029,Kelantan,P.029,Machang,5.7641131,102.214217,68387,96.45,3.13,0.18,0,0.04,0.05,0.15
P.030,Kelantan,P.030,Jeli,5.6955226,101.8449367,47470,98.23,0.19,0.11,0.56,0.29,0.35,0.27
P.031,Kelantan,P.031,Kuala Krai,5.5311582,102.1993666,70348,94.55,3.96,1.17,0.01,0.04,0.04,0.23
P.032,Kelantan,P.032,Gua Musang,4.8792724,101.9652332,52524,82.43,5.58,0.51,11.1,0.06,0.05,0.27
P.033,Terengganu,P.033,Besut,5.5833333,102.5,86627,98.1,1.41,0.09,0.01,0.06,0.07,0.26
P.034,Terengganu,P.034,Setiu,5.5500806,102.7355111,86247,99.41,0.33,0.03,0,0.05,0.03,0.15
P.035,Terengganu,P.035,Kuala Nerus,5.3333333,103,83663,98.7,0.95,0.08,0,0.06,0.06,0.15
P.036,Terengganu,P.036,Kuala Terengganu,5.3296461,103.1383265,103611,90.01,9.21,0.52,0,0.05,0.05,0.16
P.037,Terengganu,P.037,Marang,5.1666667,103.1666667,104898,97.69,2.01,0.08,0,0.04,0.05,0.13
P.038,Terengganu,P.038,Hulu Terengganu,4.910689,102.7650701,73487,99.08,0.47,0.04,0.21,0.04,0.04,0.12
P.039,Terengganu,P.039,Dungun,4.7643972,103.4184463,90506,96.01,3.41,0.18,0,0.07,0.06,0.27
P.040,Terengganu,P.040,Kemaman,4.239674,103.1914299,107593,93.42,5.38,0.62,0.19,0.06,0.09,0.24
P.041,Pulau Pinang,P.041,Kepala Batas,5.5143846,100.4362369,60523,78.56,17.02,4.17,0,0.06,0.06,0.13
P.042,Pulau Pinang,P.042,Tasek Gelugor,5.4821102,100.4980002,60850,78.23,14.71,6.59,0,0.12,0.15,0.2
P.043,Pulau Pinang,P.043,Bagan,5.4067343,100.3696461,71583,13.35,71.27,15.03,0,0.05,0.03,0.27
P.044,Pulau Pinang,P.044,Permatang Pauh,5.410228,100.413226,81789,71.94,21.41,6.16,0,0.07,0.06,0.36
P.045,Pulau Pinang,P.045,Bukit Mertajam,5.3642519,100.4609867,88998,19.34,70.36,9.95,0,0.06,0.03,0.26
P.046,Pulau Pinang,P.046,Batu Kawan,5.2625962,100.4304555,65394,20.94,55.87,22.76,0,0.08,0.06,0.29
P.047,Pulau Pinang,P.047,Nibong Tebal,5.1700963,100.4785191,73383,47.7,35.03,16.95,0.01,0.07,0.04,0.2
P.048,Pulau Pinang,P.048,Bukit Bendera,5.4245765,100.2689827,75069,14.65,72.83,11.29,0,0.09,0.09,1.05
P.049,Pulau Pinang,P.049,Tanjong,5.4647757,100.284463,49586,5.89,84.17,9.55,0,0.04,0.03,0.32
P.050,Pulau Pinang,P.050,Jelutong,5.3873462,100.3145585,76991,22.62,65.21,11.67,0,0.06,0.04,0.4
P.051,Pulau Pinang,P.051,Bukit Gelugor,5.3794182,100.3047639,91595,14.33,73.86,11.27,0,0.06,0.04,0.44
P.052,Pulau Pinang,P.052,Bayan Baru,5.3248811,100.285231,90780,39.6,48.51,11.02,0,0.19,0.18,0.5
P.053,Pulau Pinang,P.053,Balik Pulau,5.3506953,100.2348979,59086,64.9,30.16,4.43,0,0.15,0.1,0.26
P.054,Perak,P.054,Gerik,5.4306632,101.1296386,35903,69.1,14.05,3.29,9.07,0.55,0.84,3.1
P.055,Perak,P.055,Lenggong,5.1094869,100.9678905,29752,83.46,12.69,1.44,2.13,0.07,0.05,0.16
P.056,Perak,P.056,Larut,4.853766,100.7436053,49453,89.69,4.34,5.64,0,0.05,0.04,0.24
P.057,Perak,P.057,Parit Buntar,5.1300016,100.4893897,51860,69.35,25.7,4.76,0,0.05,0.02,0.12
P.058,Perak,P.058,Bagan Serai,5.0284508,100.5273516,59293,77.89,12.89,9.01,0,0.04,0.04,0.13
P.059,Perak,P.059,Bukit Gantang,4.7833333,100.76667,69873,72.39,18.9,8.41,0.01,0.04,0.05,0.2
P.060,Perak,P.060,Taiping,4.8546772,100.7438831,90729,38.81,46.41,13.45,0.03,0.23,0.62,0.45
P.061,Perak,P.061,Padang Rengas,4.7777852,100.8576433,30996,77.75,15.42,6.65,0,0.02,0.04,0.12
P.062,Perak,P.062,Sungai Siput,4.8188086,101.071298,55002,34.28,36.28,20.89,8.3,0.05,0.04,0.16
P.063,Perak,P.063,Tambun,4.6112263,101.1400876,107763,66.32,20.22,11.42,1.08,0.18,0.33,0.45
P.064,Perak,P.064,Ipoh Timor,4.5763317,101.1308762,91486,21,72.01,6.4,0.02,0.08,0.09,0.4
P.065,Perak,P.065,Ipoh Barat,4.5954401,101.0622002,84874,11.83,63.16,24.42,0.03,0.04,0.06,0.46
P.066,Perak,P.066,Batu Gajah,4.4598846,101.0492993,81399,9.95,75,14.61,0.05,0.04,0.05,0.3
P.067,Perak,P.067,Kuala Kangsar,4.7720713,100.9408776,36954,70.36,21.6,6.61,1.05,0.07,0.06,0.25
P.068,Perak,P.068,Beruas,4.5002829,100.7824056,79794,26.33,59.25,14.06,0.01,0.09,0.07,0.19
P.069,Perak,P.069,Parit,4.4768608,100.9093896,35910,93,2.24,2.54,1.86,0.07,0.08,0.21
P.070,Perak,P.070,Kampar,4.30066,101.1614462,69436,33.39,55.37,9.16,1.74,0.05,0.05,0.24
P.071,Perak,P.071,Gopeng,4.476786,101.168079,99167,42.37,46.01,9.12,2.09,0.07,0.07,0.27
P.072,Perak,P.072,Tapah,4.1990915,101.2599231,47128,46.24,25.83,14.29,12.96,0.08,0.1,0.5
P.073,Perak,P.073,Pasir Salak,4.1731723,100.945408,54671,80.65,12.86,3.49,2.75,0.04,0.05,0.16
P.074,Perak,P.074,Lumut,4.2246469,100.6211525,67157,72.05,14.96,11.44,0.03,0.56,0.66,0.3
P.075,Perak,P.075,Bagan Datuk,3.9166667,100.9166667,47309,58.99,17.72,21.63,0.02,0.36,0.15,1.13
P.076,Perak,P.076,Teluk Intan,4.023176,101.026184,66487,40.67,40.09,18.64,0.21,0.02,0.04,0.33
P.077,Perak,P.077,Tanjong Malim,3.6900079,101.5234848,68468,55.56,25.56,13.02,5.31,0.06,0.07,0.42
P.078,Pahang,P.078,Cameron Highlands,4.4781546,101.4833091,32048,33.5,29.48,14.91,21.56,0.12,0.06,0.37
P.079,Pahang,P.079,Lipis,4.3242506,101.9085845,35294,78.02,15.64,5.23,0.77,0.05,0.07,0.22
P.080,Pahang,P.080,Raub,3.7950465,101.8560075,57723,52.07,38.11,6.15,3.25,0.05,0.06,0.31
P.081,Pahang,P.081,Jerantut,4.2834137,102.5575232,63609,81.76,13.02,2.63,2.24,0.06,0.05,0.24
P.082,Pahang,P.082,Indera Mahkota,3.829399,103.2942076,77208,66.62,26.89,5.68,0.04,0.27,0.16,0.34
P.083,Pahang,P.083,Kuantan,3.7985637,103.32199,62696,66.39,29.58,3.34,0.17,0.11,0.09,0.32
P.084,Pahang,P.084,Paya Besar,3.7861754,103.233338,55135,83.36,12.86,1.94,1.4,0.06,0.07,0.31
P.085,Pahang,P.085,Pekan,3.4895509,103.390396,88899,87.79,2.01,0.82,7.86,0.23,0.48,0.81
P.086,Pahang,P.086,Maran,3.601443,102.6410048,41036,90.16,6.16,1.45,1.83,0.05,0.05,0.3
P.087,Pahang,P.087,Kuala Krau,3.709684,102.367585,47264,89.86,2.77,2.29,4.78,0.04,0.05,0.21
P.088,Pahang,P.088,Temerloh,3.6124468,102.2566818,75081,66.47,22.52,8.11,1.25,0.29,0.61,0.75
P.089,Pahang,P.089,Bentong,3.3624708,102.0172675,67359,46.5,41.69,9.16,2.08,0.09,0.17,0.31
P.090,Pahang,P.090,Bera,3.2366738,102.5417723,58711,61.89,29.17,3.71,4.59,0.2,0.17,0.27
P.091,Pahang,P.091,Rompin,2.8245772,103.0993556,61918,87.71,2.31,1.03,8.45,0.08,0.06,0.36
P.092,Selangor,P.092,Sabak Bernam,3.6871153,101.0580588,40863,83.05,11.69,4.95,0.01,0.05,0.07,0.18
P.093,Selangor,P.093,Sungai Besar,3.6777145,100.9880263,48739,68.71,28.77,2.02,0.01,0.11,0.05,0.33
P.094,Selangor,P.094,Hulu Selangor,3.5367441,101.5949347,100990,60.39,20.8,16.22,1.64,0.17,0.16,0.62
P.095,Selangor,P.095,Tanjong Karang,3.4248609,101.1765284,47198,74.67,15.96,8.94,0,0.05,0.03,0.35
P.096,Selangor,P.096,Kuala Selangor,3.3621022,101.3455503,69397,65.43,12.92,21.09,0.01,0.1,0.08,0.37
P.097,Selangor,P.097,Selayang,3.2537121,101.6539012,116176,51.79,28.72,17.7,0.22,0.21,0.18,1.18
P.098,Selangor,P.098,Gombak,3.3,101.7,141112,75.8,10.67,10.77,0.39,0.15,0.14,2.08
P.099,Selangor,P.099,Ampang,3.1505141,101.7600712,91737,54.79,34.66,8.71,0.01,0.2,0.13,1.5
P.100,Selangor,P.100,Pandan,3.1359876,101.7204333,101319,45.58,45.95,7.12,0.01,0.34,0.15,0.85
P.101,Selangor,P.101,Hulu Langat,3.083333,101.833333,102363,64.98,22.08,10.42,0.75,0.32,0.27,1.18
P.102,Selangor,P.102,Bangi,2.9040475,101.7863029,178790,48.48,38.95,11.12,0.01,0.28,0.22,0.94
P.103,Selangor,P.103,Puchong,3.0327,101.6188,96437,36.86,51.98,10.03,0.15,0.32,0.17,0.49
P.104,Selangor,P.104,Subang,3.0342324,101.6170345,146422,26.62,56.49,15.15,0.01,0.41,0.27,1.05
P.105,Selangor,P.105,Petaling Jaya,3.0988792,101.6454202,140920,46.57,32.03,19.54,0.01,0.31,0.22,1.32
P.106,Selangor,P.106,Damansara,3.1378819,101.5966801,164322,19.67,69.42,9.42,0.19,0.18,0.12,1
P.107,Selangor,P.107,Sungai Buloh,3.2061782,101.5800355,90707,65.33,21.64,10.72,0.04,0.46,0.47,1.34
P.108,Selangor,P.108,Shah Alam,3.0739429,101.5185278,107316,75.26,10.83,12.78,0.07,0.3,0.23,0.53
P.109,Selangor,P.109,Kapar,3.1377492,101.3732079,124983,70.72,14.78,13.55,0.02,0.25,0.09,0.59
P.110,Selangor,P.110,Klang,3.0448394,101.4447363,149348,26.44,55.26,17.09,0.05,0.37,0.13,0.66
P.111,Selangor,P.111,Kota Raja,3.0117686,101.5622842,149021,43.15,27.66,27.68,0.01,0.59,0.15,0.76
