UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,LATITUDE,LONGITUDE,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.145,Johor,P.145,Bakri,2.0424892,102.6539628,97335,45.39,51.62,2.12,0.01,0.15,0.13,0.58,99.05,0.01,0.94,0,5.31,19.44,20.77,17.38,15.11,12.48,6.54,2.5,0.46,49.4,50.6,URBAN
P.146,Johor,P.146,Muar,2.0425046,102.5658852,68925,66.35,31.25,1.34,0.1,0.16,0.1,0.71,99.17,0.01,0.82,0,5.86,20.94,21.59,16.91,14.28,11.43,5.95,2.46,0.59,49.58,50.42,SEMI URBAN
P.147,Johor,P.147,Parit Sulong,1.9759124,102.8830335,79484,80.21,18.07,0.47,0.33,0.06,0.07,0.8,99.94,0.01,0.05,0,5.87,20.39,19.96,16.21,15.98,12.14,6.24,2.67,0.54,49.1,50.9,RURAL
P.148,Johor,P.148,Ayer Hitam,1.9181728,103.1795162,61041,57.61,37.09,4.14,0.04,0.08,0.06,0.97,99.91,0.01,0.08,0,6.3,21.13,20.91,17.12,15.47,11.09,5.48,2.14,0.34,49.89,50.11,SEMI URBAN
P.149,Johor,P.149,Sri Gading,1.8541606,103.0304386,78602,63.69,33.83,1.37,0.04,0.12,0.08,0.86,99.86,0.02,0.05,0.07,7.34,24.53,20.88,16.33,14.44,9.92,4.42,1.87,0.27,49.51,50.49,SEMI URBAN
P.150,Johor,P.150,Batu Pahat,1.933333,103,133910,52.03,44.72,1.43,0.55,0.11,0.09,1.05,99.14,0.02,0.33,0.5,5.64,20.34,21.58,16.94,14.98,11.4,6.34,2.34,0.45,49.46,50.54,URBAN
P.151,Johor,P.151,Simpang Renggam,1.826736,103.308715,59033,60.53,28.69,8.63,0.14,0.2,0.14,1.68,98.78,0.01,1.22,0,5.92,21.25,22.25,16.55,14.93,10.98,5.53,2.16,0.42,50,50,RURAL
P.152,Johor,P.152,Kluang,2.0323472,103.3190766,132342,41.23,46.06,10.43,0.1,0.39,0.64,1.15,95.86,0.02,0.31,3.8,5.63,21.25,22.21,16.67,14.13,11.68,6.04,1.99,0.39,50.16,49.84,URBAN
P.153,Johor,P.153,Sembrong,1.9677552,103.3801406,54982,60.25,27.81,8.8,1.67,0.09,0.09,1.31,99.91,0.01,0.08,0,4.89,18.72,24.86,17.37,12.92,13.1,6.13,1.67,0.35,50.18,49.82,SEMI URBAN
P.154,Johor,P.154,Mersing,2.4298532,103.835494,66275,81.18,13.74,1.18,2.11,0.54,0.5,0.74,97.46,0.01,0.45,2.09,5.47,20.77,27.59,16.28,11.36,11.95,5,1.25,0.33,50.45,49.55,RURAL
P.155,Johor,P.155,Tenggara,1.8637505,103.6219072,67294,72.99,16.36,7.04,0.63,0.43,1.04,1.51,96.97,0.01,0.14,2.88,7.48,24.07,23.34,17.82,13.18,8.44,4.19,1.32,0.16,49.88,50.12,SEMI URBAN
P.156,Johor,P.156,Kota Tinggi,1.816667,103.966667,61291,88.67,7.96,1.78,0.13,0.14,0.2,1.12,99.35,0,0.65,0,5.06,18.28,26.27,19.2,11.9,10.93,6.64,1.44,0.28,50.16,49.84,RURAL
P.157,Johor,P.157,Pengerang,1.3944226,104.2154903,55316,89.38,8.06,0.75,0.4,0.34,0.35,0.73,98.66,0,0.31,1.03,5.47,18.05,25.25,22.16,10.93,8.85,7.6,1.33,0.36,50.37,49.63,RURAL
P.158,Johor,P.158,Tebrau,1.5354668,103.7572379,223301,44.96,38.77,11.44,0.1,0.53,1.32,2.88,99.87,0.01,0.12,0,9.67,27.08,20.41,18.27,14,7.14,2.56,0.72,0.15,50.37,49.63,URBAN
P.159,Johor,P.159,Pasir Gudang,1.4953437,103.9207048,198485,46.13,36.17,10.21,0.13,2.29,2.41,2.66,98.96,0.01,0.45,0.57,7.59,24.52,21.51,17.72,15.8,9.04,3.01,0.7,0.11,50.63,49.37,URBAN
P.160,Johor,P.160,Johor Bahru,1.503555,103.7495586,136368,51.42,39.23,5.9,0.03,0.43,0.53,2.46,98.52,0.02,1.46,0,4.21,15.7,19.77,17.47,16.32,14.77,8.36,2.71,0.68,50.07,49.93,URBAN
P.161,Johor,P.161,Pulai,1.5542,103.5948,165313,44.61,40.12,12.22,0.19,0.53,0.64,1.7,99.3,0.02,0.68,0,6.89,21.11,20.66,19.32,14.7,10.32,5.01,1.5,0.49,50.31,49.69,URBAN
P.162,Johor,P.162,Iskandar Puteri,1.4522711,103.6144729,222437,36.27,47.22,14.1,0.21,0.37,0.86,0.97,99.58,0.01,0.41,0,7.48,23.76,21.23,18.09,15.08,9.58,3.72,0.89,0.17,50.07,49.93,URBAN
P.163,Johor,P.163,Kulai,1.6666667,103.6,151247,36.96,49.21,11.58,0.02,0.5,0.53,1.21,99.51,0.01,0.45,0.03,7.67,23.41,19.62,17.71,15.19,9.6,4.8,1.7,0.29,50.3,49.7,URBAN
P.164,Johor,P.164,Pontian,1.5,103.5,75212,68.25,28.03,1.06,0.61,0.1,0.11,1.84,99.89,0.01,0.11,0,5.65,20.19,22.07,16.49,14.78,11.24,6.52,2.49,0.57,49.68,50.32,RURAL
P.165,Johor,P.165,Tanjung Piai,1.2679048,103.5086586,70679,57.02,40.05,1.02,0.04,0.18,0.16,1.54,99.56,0.01,0.43,0,5.84,20.39,20.86,17.21,15.29,11.39,6.22,2.27,0.54,50.74,49.26,SEMI URBAN
P.166,Wilayah Persekutuan Labuan,P.166,Labuan,5.3168336,115.2198613,44484,32.73,17.01,1.22,0,41.99,2.24,4.8,96.74,0.01,0.84,2.4,7.25,23.56,24.47,15.64,13.04,10.45,3.94,1.19,0.46,52.29,47.71,SEMI URBAN
P.167,Sabah,P.167,Kudat,7.2316455,117.1711562,75724,4.17,7.06,0.12,0.01,71.72,0.32,16.59,99.32,0,0.68,0,7.96,23.27,23.49,16.62,11.81,8.42,4.19,2.37,1.86,50.54,49.46,RURAL
P.168,Sabah,P.168,Kota Marudu,6.4465546,116.828293,80735,2.66,2.01,0.08,0,92.41,0.31,2.53,99.78,0,0.22,0,8.18,25.52,25.44,15.9,10.82,7.21,3.77,1.94,1.21,50.66,49.34,RURAL
P.169,Sabah,P.169,Kota Belud,6.3347195,116.4835961,79885,2.92,1.12,0.2,0,92.3,0.31,3.15,99.39,0,0.21,0.4,7.13,22.23,23.88,17.05,13.48,9.25,3.86,2.07,1.04,48.94,51.06,RURAL
P.170,Sabah,P.170,Tuaran,6.0659213,116.3198111,83419,4.76,4.24,0.23,0.01,87.17,0.48,3.11,99.77,0,0.23,0,7.75,22.31,23.93,16.88,13.83,9.08,3.59,1.65,0.98,49.79,50.21,SEMI URBAN
P.171,Sabah,P.171,Sepanggar,6.0679124,116.0743453,108370,12.97,17.07,0.54,0.01,61.13,0.73,7.55,97.98,0.01,0.01,2.01,8.83,27.26,25.28,15.57,11.23,7.8,2.54,0.93,0.57,51,49,URBAN
P.172,Sabah,P.172,Kota Kinabalu,5.9780066,116.0728988,74059,4.21,59.9,0.98,0,29.48,0.36,5.06,99.52,0.02,0.22,0.25,3.32,14.06,19.12,18.19,16.55,16.09,8.69,2.85,1.12,49.03,50.97,URBAN
P.173,Sabah,P.173,Putatan,5.8814478,116.0656182,63173,18.66,11.76,0.74,0.02,59.48,1,8.34,95.23,0.01,0.05,4.72,6.73,23.58,24.04,16.44,12.81,10.12,4.19,1.26,0.84,51.72,48.28,URBAN
P.174,Sabah,P.174,Penampang,5.8626228,116.1138146,77214,4.72,26.71,0.68,0,64.06,0.97,2.86,96.61,0.01,3.35,0.03,6.88,22.07,23.85,18.88,13.27,9.21,3.97,1.33,0.55,50.85,49.15,URBAN
P.175,Sabah,P.175,Papar,5.7461495,116.0449789,59942,8.92,6.29,0.3,0.01,79.46,0.67,4.37,98.62,0.01,1.38,0,7.61,22.15,21.75,18.05,14.66,9.89,4.03,1.28,0.58,49.93,50.07,SEMI URBAN
P.176,Sabah,P.176,Kimanis,5.6150677,115.8883036,40763,9.22,2.93,0.18,0,84.48,0.59,2.6,99.95,0,0.05,0,6.35,20.12,23.41,18.79,15.28,9.75,3.87,1.44,0.99,50.32,49.68,RURAL
P.177,Sabah,P.177,Beaufort,5.2911244,115.672474,43248,7.21,5.44,0.32,0.01,84.19,0.72,2.11,99.51,0,0.48,0,5.51,18.63,21.27,18.77,17.18,11.79,4.61,1.66,0.58,50.33,49.67,RURAL
P.178,Sabah,P.178,Sipitang,4.634452,115.6861012,45871,8.07,3.38,0.17,0,84.5,1.9,1.97,99.68,0,0.32,0,6.73,22.33,23.31,17.09,14.49,10.21,3.62,1.53,0.69,50.81,49.19,RURAL
P.179,Sabah,P.179,Ranau,5.8980313,116.6696079,66517,2.2,1.32,0.08,0.01,94.3,0.43,1.65,99.72,0,0.28,0,7.66,24.26,25.08,16.71,12.01,8.2,3.35,1.67,1.06,50.28,49.72,RURAL
P.180,Sabah,P.180,Keningau,5.2179477,116.2463149,87588,5.36,7.08,0.16,0.01,84.31,0.73,2.35,99.69,0,0.31,0,7.87,26.5,24.82,15.81,12.44,8,2.83,1.13,0.6,50.39,49.61,RURAL
P.181,Sabah,P.181,Tenom,4.9104025,115.9050951,42045,6.09,8.5,0.08,0,82.37,0.55,2.4,99.66,0,0.33,0,7.64,22.33,23.74,16.85,13.88,9.22,3.36,1.68,1.31,49.95,50.05,RURAL
P.182,Sabah,P.182,Pensiangan,4.5384978,116.3117345,55672,1.51,0.94,0.05,0.01,95.68,0.35,1.46,99.98,0,0.02,0,9.59,28.21,24.88,14.54,10.78,6.36,2.45,1.67,1.52,50.11,49.89,RURAL
P.183,Sabah,P.183,Beluran,6.1366933,117.3629228,44727,5.47,0.86,0.11,0,87.38,1.64,4.53,99.6,0,0.4,0,8.21,26.22,24.04,15.97,12.02,7.6,3.5,1.62,0.82,50.99,49.01,RURAL
P.184,Sabah,P.184,Libaran,6.1154317,118.0218224,72332,28.03,15.12,0.31,0,46.51,1.05,8.97,97.32,0,1.89,0.78,8.16,26.58,23.78,16.72,11.61,8.12,3.24,1.17,0.62,51.43,48.57,SEMI URBAN
P.185,Sabah,P.185,Batu Sapi,5.8037817,118.0445333,43916,14.83,26.98,0.31,0.02,50.47,0.87,6.51,98.24,0,0.65,1.11,7,24.05,22.23,15.32,13.32,10.09,4.57,2.03,1.4,51.63,48.37,URBAN
P.186,Sabah,P.186,Sandakan,5.8391274,118.1158598,55542,14.39,42.37,0.64,0.01,35.66,0.79,6.13,99.32,0.01,0.67,0,6.58,22.33,20.55,15.72,13.41,12.12,5.6,2.43,1.25,50.33,49.67,URBAN
P.187,Sabah,P.187,Kinabatangan,5.332648,118.1212915,44773,14.61,0.68,0.14,0,78.92,1.38,4.27,99.52,0,0.48,0,8.38,26.04,23.62,15.95,12.16,8.1,3.16,1.47,1.12,51.73,48.27,RURAL
P.188,Sabah,P.188,Silam,4.9566648,118.164739,100256,26.42,9.14,0.42,0.01,56.03,1.18,6.8,98.23,0,1.36,0.41,8.81,27.73,24.81,14.75,11.32,8.08,2.77,1,0.74,51.91,48.09,SEMI URBAN
P.189,Sabah,P.189,Semporna,4.4790765,118.4297732,72169,6.6,1.52,0.14,0.01,87.61,0.33,3.79,98.7,0,0.94,0.36,9.1,26.01,22.58,16.69,12.24,7.9,2.59,1.58,1.32,49.77,50.23,RURAL
P.190,Sabah,P.190,Tawau,4.2435206,117.885331,87477,33.96,29.52,0.38,0,28.55,1.2,6.38,98.65,0.01,0.81,0.53,7.01,23.09,21.67,16.42,13.64,11.1,4.6,1.61,0.86,51.34,48.66,URBAN
P.191,Sabah,P.191,Kalabakan,4.4808936,117.4071326,83970,49.17,8.37,0.36,0.01,32.93,2.21,6.93,96.73,0.01,0.6,2.67,7.69,27.03,26.27,15.51,10.58,8.53,2.81,0.99,0.6,51.87,48.13,URBAN
P.192,Sarawak,P.192,Mas Gading,1.4166866,110.1561153,47171,5.14,17.08,0.18,0.01,0.42,76.84,0.32,98.62,0,0.32,1.06,6.47,21.45,19.52,16.99,16.74,11.32,5.39,1.7,0.41,51.27,48.73,RURAL
P.193,Sarawak,P.193,Santubong,1.7368773,110.3325372,79540,78.03,7.92,0.09,0,0.26,13.36,0.34,99.79,0,0.15,0.06,8.21,25.1,21.72,16.93,13.77,8.85,4.02,1.13,0.26,49.54,50.46,SEMI URBAN
P.194,Sarawak,P.194,Petra Jaya,1.5715783,110.351203,109809,69.37,13.41,0.59,0,0.33,15.91,0.38,99.15,0.02,0.84,0,7.47,23.86,22.65,16.97,13.88,9.29,4.27,1.3,0.31,49.04,50.96,URBAN
P.195,Sarawak,P.195,Bandar Kuching,1.6346489,110.3422861,109710,4.53,85.26,0.7,0,0.24,8.73,0.55,98.94,0.01,1.01,0.03,3.51,12.6,16,17.06,18.08,18.04,10.19,3.61,0.93,48.63,51.37,URBAN
P.196,Sarawak,P.196,Stampin,1.5078284,110.3516797,121009,14.56,61.57,0.68,0,0.3,22.56,0.32,97.09,0.02,0.95,1.94,6.77,22.21,23.09,19.21,13.3,9.27,4.55,1.32,0.28,50.56,49.44,URBAN
P.197,Sarawak,P.197,Kota Samarahan,1.4596157,110.4954562,82229,55.76,13.26,0.24,0.01,0.57,29.87,0.29,93.81,0,0.27,5.91,8.39,25.19,23.72,17.6,12.31,7.79,3.62,1.16,0.21,50.63,49.37,SEMI URBAN
P.198,Sarawak,P.198,Puncak Borneo,1.3350614,110.3048801,79969,4.8,24.91,0.18,0.01,0.33,69.49,0.28,98.98,0,1.02,0,6.54,20.63,21.19,17.56,15.87,11.13,5.09,1.56,0.43,50.76,49.24,RURAL
P.199,Sarawak,P.199,Serian,1.1136159,110.6182211,65273,7.6,10.21,0.17,0,0.23,81.54,0.25,99.76,0,0.24,0,6.35,19.87,20.48,17.37,16.78,11.81,5.4,1.53,0.41,50.78,49.22,RURAL
P.200,Sarawak,P.200,Batang Sadong,1.418612,110.7036751,32640,69.99,5.19,0.05,0,0.2,24.35,0.22,99.68,0,0.32,0,6.67,19.73,20.49,16.47,16.68,11.8,6.01,1.62,0.53,49.37,50.63,RURAL
P.201,Sarawak,P.201,Batang Lupar,2.5023855,112.9547283,43072,70.74,2.7,0.02,0,0.15,26.03,0.36,99.95,0.01,0.04,0,6.38,20.46,21.76,16.54,16.58,10.83,5.4,1.56,0.5,50.05,49.95,RURAL
P.202,Sarawak,P.202,Sri Aman,1.2097123,111.2866092,50164,10.31,16.81,0.06,0.02,0.32,72.17,0.32,98.24,0,0.74,1.02,6.29,20.53,19.05,16.28,16.05,12.49,6.78,2.03,0.5,50.28,49.72,RURAL
P.203,Sarawak,P.203,Lubok Antu,1.2860121,111.8674654,28995,1.73,7.95,0.05,0,0.24,89.65,0.38,99.68,0,0.31,0,5.81,17.61,19.36,17.18,17.79,12.48,6.73,2.18,0.86,50.48,49.52,RURAL
P.204,Sarawak,P.204,Betong,1.4797292,111.474787,41743,43.65,6.37,0.03,0.01,0.14,49.49,0.31,99.69,0,0.31,0,6.22,20.54,21.52,16,16.2,11.44,5.81,1.84,0.43,50.16,49.84,RURAL
P.205,Sarawak,P.205,Saratok,1.7668371,111.4087566,44531,36.9,6.64,0.03,0,0.19,56.05,0.19,99.73,0,0.27,0,6.64,20.71,20.84,15.92,16.55,11.94,5.56,1.43,0.41,49.91,50.09,RURAL
P.206,Sarawak,P.206,Tanjong Manis,2.129,111.2907,32948,23.26,6.06,0.05,0.01,0.43,69.82,0.38,99.98,0,0.02,0,6.88,22.45,21.37,17.29,15.54,10.19,4.55,1.24,0.48,49.94,50.06,RURAL
P.207,Sarawak,P.207,Igan,2.8212516,111.7063114,28290,5.96,3.83,0.02,0,0.47,89.43,0.28,99.73,0,0.27,0,6.68,23,21.79,15.98,15.39,10.46,5.08,1.3,0.31,49.41,50.59,RURAL
P.208,Sarawak,P.208,Sarikei,2.1294846,111.5230586,55018,4.56,60.65,0.03,0.01,0.2,34.32,0.22,99.4,0,0.6,0,5.54,19.36,20.29,17.55,16.06,12.2,6.15,2.17,0.67,50.27,49.73,RURAL
P.209,Sarawak,P.209,Julau,1.8198041,111.8990022,34850,0.48,4.98,0.02,0.01,0.17,93.77,0.56,99.81,0,0.19,0,6.3,20.47,19.97,17.9,16.75,10.36,5.25,1.98,1.02,51.03,48.97,RURAL
P.210,Sarawak,P.210,Kanowit,1.9353301,112.2098575,30988,1.74,11.53,0.02,0,0.2,86.19,0.32,99.73,0,0.27,0,6.28,19.45,20.88,16.43,16.27,11.83,5.78,2.11,0.98,49.94,50.06,RURAL
P.211,Sarawak,P.211,Lanang,2.2397256,111.8478428,87356,4.23,64.96,0.05,0.01,0.45,30.07,0.23,98.02,0,0.82,1.16,5.99,21.08,19.8,17.21,15.1,12.11,6.09,1.99,0.63,49.33,50.67,URBAN
P.212,Sarawak,P.212,Sibu,2.2906434,111.8256158,105875,10.4,62.03,0.12,0.02,0.46,26.75,0.22,97.82,0.01,0.51,1.66,6.25,21.32,21.87,17.81,14.84,10.69,5.01,1.69,0.53,49.75,50.25,URBAN
P.213,Sarawak,P.213,Mukah,2.8118528,112.291206,46964,3.29,9.89,0.05,0,0.46,86.07,0.23,99.57,0,0.43,0,6.66,21.83,20.73,16.92,15.67,10.75,5.61,1.49,0.34,50.63,49.37,RURAL
P.214,Sarawak,P.214,Selangau,2.4955896,112.3524958,45743,1.01,3.78,0.02,0,0.27,94.5,0.43,99.81,0,0.19,0,7.52,21.74,20.72,17.6,15.34,9.75,4.7,1.77,0.85,50.61,49.39,RURAL
P.215,Sarawak,P.215,Kapit,2.0139027,112.9356766,45210,2.37,8.71,0.04,0,0.23,88.09,0.56,99.59,0,0.4,0,6.79,20.91,21.61,16.7,15.65,10,5.33,2.07,0.94,49.54,50.46,RURAL
P.216,Sarawak,P.216,Hulu Rajang,2.2907,114.849,43438,0.98,1.81,0.03,0.02,0.42,95.97,0.77,99.82,0,0.18,0,7.55,22.72,21.21,16.32,14.47,9.31,4.74,2.29,1.39,51.02,48.98,RURAL
P.217,Sarawak,P.217,Bintulu,3.1874261,113.0472803,113599,9.81,25.24,0.1,0,0.64,63.79,0.42,99.25,0,0.34,0.41,7.76,24.6,21.6,16.18,14.94,9.79,3.73,1.01,0.39,50.84,49.16,URBAN
P.218,Sarawak,P.218,Sibuti,4.5126609,114.0146618,58522,18.39,22.84,0.17,0,0.72,57,0.88,98.67,0.01,0.09,1.24,6.91,23.94,23.43,16.32,13.25,10.25,4.47,1.1,0.32,51.52,48.48,RURAL
P.219,Sarawak,P.219,Miri,4.392739,113.9880255,143229,16.78,46.38,0.32,0,0.79,35.13,0.6,99.27,0.01,0.73,0,6.74,22.56,21.75,16.65,14.37,11.17,4.82,1.46,0.47,49.87,50.13,URBAN
P.220,Sarawak,P.220,Baram,3.2022972,115.3967428,59535,4.52,7.44,0.04,0.04,0.34,86.59,1.04,99.87,0,0.13,0,6.34,19.13,19.55,16.69,16.36,12.01,5.43,2.68,1.8,51.69,48.31,RURAL
P.221,Sarawak,P.221,Limbang,4.3519985,115.0602417,41999,25.82,17.48,0.1,0,6.21,49.39,1.01,99.14,0,0.86,0,6.77,20.66,21.9,17.1,14.78,11.84,4.78,1.61,0.55,51.06,48.94,RURAL
P.222,Sarawak,P.222,Lawas,4.4551211,115.427188,33655,35.9,9.42,0.12,0.01,3.1,50.58,0.86,99.7,0,0.3,0,7.08,22.25,21.69,16.95,14.65,10.88,4.34,1.57,0.6,51.77,48.23,RURAL
